446	276	1
464	278	1
450	361	1
457	350	1
469	349	1
478	357	1
476	372	1
475	270	1
487	267	1
488	275	1
516	207	1
523	190	1
346	601	1
361	593	1
379	591	1
393	591	1
423	525	1
450	520	1
467	519	1
480	484	1
489	471	1
508	460	1
695	95	1
685	105	1
680	115	1
678	197	1
669	212	1
665	227	1
663	246	1
665	263	1
668	275	1
639	309	1
630	324	1
627	341	1
625	359	1
543	452	1
562	447	1
545	498	1
542	514	1
540	543	1
547	570	1
562	598	1
578	621	1
598	642	1
675	344	1
696	328	1
611	607	1
639	586	1
664	579	1
657	550	1
671	539	1
681	534	1
718	468	1
725	494	1
745	513	1
751	518	1
780	543	1
807	558	1
697	539	1
714	549	1
733	560	1
746	570	1
764	583	1
784	596	1
796	613	1
830	649	1
867	666	1
818	557	1
830	553	1
849	574	1
878	670	1
876	650	1
879	633	1
888	619	1
421	347	1
406	336	1
397	319	1
393	300	1
394	283	1
405	277	1
415	272	1
430	270	1
428	356	1
424	366	1
425	375	1
439	370	1
486	288	1
480	300	1
482	313	1
472	387	1
462	396	1
446	402	1
429	407	1
414	408	1
398	405	1
381	394	1
374	375	1
495	318	1
505	314	1
516	305	1
521	295	1
524	282	1
525	266	1
524	250	1
519	237	1
510	225	1
497	215	1
485	212	1
472	211	1
479	198	1
497	192	1
365	392	1
359	405	1
528	159	1
534	142	1
543	129	1
552	112	1
563	97	1
577	87	1
597	76	1
617	64	1
633	58	1
650	52	1
669	49	1
691	44	1
709	45	1
725	45	1
740	47	1
755	49	1
768	54	1
704	83	1
719	71	1
738	63	1
259	539	1
256	558	1
256	582	1
256	598	1
261	627	1
267	649	1
276	667	1
285	677	1
300	690	1
269	517	1
276	497	1
289	480	1
302	457	1
321	440	1
337	427	1
355	421	1
307	665	1
314	641	1
322	620	1
407	591	1
408	572	1
409	546	1
471	499	1
524	453	1
575	452	1
570	464	1
561	474	1
601	623	1
623	593	1
651	582	1
660	564	1
799	628	1
799	645	1
815	641	1
851	654	1
900	606	1
914	594	1
898	586	1
853	557	1
850	544	1
869	572	1
734	448	1
751	445	1
766	440	1
763	420	1
765	395	1
778	379	1
791	375	1
807	370	1
819	368	1
836	359	1
655	372	1
800	325	1
780	320	1
762	315	1
745	313	1
630	375	1
642	384	1
721	315	1
820	339	1
651	289	1
679	136	1
683	156	1
689	172	1
697	190	1
665	415	1
689	386	1
699	355	1
724	354	1
758	354	1
709	398	1
726	422	1
741	374	1
626	465	1
613	502	1
596	527	1
571	537	1
592	486	1
618	424	1
642	430	1
662	464	1
707	430	1
688	500	1
643	509	1
613	544	1
582	574	1
623	572	1
650	539	1
720	514	1
740	534	1
761	553	1
785	573	1
817	597	1
839	581	1
847	612	1
871	594	1
853	631	1
822	629	1
833	604	1
868	607	1
683	452	1
578	403	1
550	356	1
554	320	1
512	374	1
503	409	1
468	427	1
440	436	1
405	449	1
388	461	1
382	480	1
380	487	1
374	507	1
357	523	1
324	544	1
305	563	1
288	601	1
286	621	1
308	599	1
330	579	1
349	571	1
374	562	1
383	510	1
407	481	1
440	467	1
486	447	1
297	525	1
323	492	1
342	461	1
360	440	1
434	299	1
413	298	1
427	321	1
449	318	1
470	328	1
492	339	1
519	340	1
546	389	1
539	414	1
524	423	1
564	427	1
580	370	1
584	329	1
597	360	1
606	386	1
618	397	1
595	428	1
605	457	1
540	299	1
553	274	1
555	242	1
558	212	1
570	178	1
585	154	1
608	127	1
635	98	1
662	83	1
650	122	1
637	153	1
630	183	1
625	206	1
603	229	1
578	267	1
581	219	1
599	185	1
633	138	1
549	175	1
566	145	1
588	114	1
617	91	1
612	260	1
595	292	1
613	299	1
632	270	1
642	235	1
660	194	1
661	165	1
764	532	1
